Timestamp,CAN_ID,DLC,Data,Label
1757381305.66297,0xd,4,E6 CC 1C 22,DoS
1757381305.379744,0x357,4,33 0C 3C BA,Normal
1757381305.331742,0x113,6,7B 9E F4 CD F1 4A,Normal
1757381304.881544,0x5a4,3,2E F3 2A,Normal
1757381305.286646,0x47f,4,88 47 51 2B,Normal
1757381304.841016,0x3d2,4,57 5E 9D D3,Normal
1757381304.734286,0x743,1,38,Normal
1757381305.344975,0x39c,3,17 8A 14,Normal
1757381305.684399,0x35a,1,A5,Normal
1757381305.168061,0x66c,5,4A 03 22 7A 16,Normal
1757381304.803197,0x534,7,94 8C 96 E0 E1 6C 8C,Normal
1757381304.851589,0x411,2,DD FE,Normal
1757381305.378897,0xad,3,42 19 26,Normal
1757381305.711023,0x2a0,8,03 17 99 3C 80 6C A7 05,Normal
1757381305.54136,0x2a,1,C9,Normal
1757381305.387264,0x337,7,5E 56 A7 E8 F4 3D D9,Normal
1757381305.702911,0x155,2,F9 D0,Fuzzy
1757381305.489042,0x12d,5,DD 46 48 A9 46,Normal
1757381305.673751,0x464,4,94 D3 03 94,Normal
1757381305.666436,0xd8,1,F7,Normal
1757381305.296055,0x47d,5,8E F2 90 E5 10,Normal
1757381304.910971,0x1b2,7,8D 55 B9 CD B3 2D A3,Normal
1757381305.300257,0x36d,1,D7,Normal
1757381305.513656,0x4ab,5,E1 81 6D D2 55,Normal
1757381304.975666,0x5,3,61 D6 DE,Normal
1757381305.429147,0x380,6,F1 5B A3 72 93 26,Normal
1757381305.277592,0x1c,0,,Normal
1757381305.044462,0x4af,7,BE 8F C5 5A 43 30 80,Normal
1757381304.784152,0x610,3,66 8E 8E,Normal
1757381305.320307,0x416,8,0D 2E 52 3D A7 06 B8 72,Normal
1757381304.822479,0x4a,1,C9,Normal
1757381305.173429,0x56a,5,AC 79 6D 65 39,Normal
1757381304.822556,0x4f7,8,6C C5 B9 D6 FE 4A 65 D7,Normal
1757381305.013406,0x58,3,87 DF 7B,Normal
1757381305.168471,0x52e,8,43 57 3A 83 A3 41 E9 C4,Normal
1757381305.339593,0x727,1,4D,Normal
1757381305.457674,0x69c,5,A2 F2 CA 91 B9,Normal
1757381305.412007,0x39e,0,,Normal
1757381305.302295,0x281,0,,Normal
1757381304.972057,0x11a,5,FA 4C 61 78 8C,Normal
1757381305.542555,0x5ab,4,68 C4 ED FF,Normal
1757381305.241939,0x3c5,2,3B 63,Normal
1757381305.424672,0x75f,8,AE B1 D0 ED 4C 9B CB 02,Normal
1757381304.827729,0x70b,7,AD 85 48 C6 00 B4 5F,Fuzzy
1757381305.514625,0x1c0,3,98 35 6B,Normal
1757381305.45249,0x600,0,,Normal
1757381305.037611,0x490,4,86 BF 1B 4C,Normal
1757381305.110553,0x451,7,C9 18 8E 46 DF 74 8B,Normal
1757381305.284111,0x678,4,22 CB 86 73,Normal
1757381305.477968,0x59e,3,D7 A8 97,Normal
